,apellido,frec_pri,frec_seg,freq_rep
188,DE LA FUENTE,26915,26212,370
193,DEL RIO,26477,26371,307
220,DE LA CRUZ,23065,22897,193
229,DE LA TORRE,22223,21635,174
321,DA SILVA,15959,16863,92
337,DE LA ROSA,15093,14748,226
414,DEL VALLE,12570,12291,93
447,DOS SANTOS,11843,11285,269
463,DE MIGUEL,11342,8863,78
476,DEL POZO,11110,10755,95
531,DEL CASTILLO,10106,9644,62
535,SAN JOSE,10006,9835,27
543,DEL PINO,9814,9929,79
574,DE CASTRO,9304,9155,40
620,SAN MARTIN,8645,8342,53
621,DEL CAMPO,8642,8370,81
632,DE LEON,8544,8228,153
669,DEL OLMO,8073,8251,79
695,DE LAS HERAS,7662,7479,77
704,DE DIEGO,7597,6929,86
781,DE LOS SANTOS,6843,6807,80
836,DE DIOS,6349,6200,150
869,DEL MORAL,6172,6277,28
919,SAN JUAN,5754,6107,52
947,SAN MIGUEL,5517,5265,39
986,DE HARO,5212,5271,49
1000,DE LA IGLESIA,5150,5300,25
1010,DE LA PEÑA,5101,4769,25
1020,DEL AMO,5063,5406,67
1058,DE LA VEGA,4863,4590,34
1082,DE LA CALLE,4763,4332,35
1089,DE PABLO,4733,4337,41
1103,DE ANDRES,4687,3758,23
1124,DE JESUS,4581,3853,36
1151,DE FRUTOS,4467,4276,74
1172,DE OLIVEIRA,4376,4490,13
1221,DE PAZ,4193,4121,37
1262,DE PEDRO,4037,3969,77
1288,DEL BARRIO,3950,3625,30
1333,SAN ROMAN,3817,3505,47
1353,DA COSTA,3745,3546,11
1396,DEL REY,3624,3515,53
1403,DE JUAN,3604,2566,11
1444,DE BLAS,3493,3428,50
1458,DEL VAL,3465,3238,23
1462,DE LUCAS,3456,3393,43
1512,DE LOS REYES,3352,3477,26
1527,DE LA HOZ,3317,3195,25
1577,DEL TORO,3210,2961,51
1611,DEL CERRO,3136,3176,47
1629,DEL HOYO,3086,3054,19
1687,DE SOUSA,2972,2850,8
1849,DE LOS RIOS,2692,2720,9
1972,DEL ROSARIO,2520,2642,28
1998,SAN EMETERIO,2470,2409,11
2009,DEL ALAMO,2455,2644,17
2045,DEL AGUILA,2412,2401,37
2054,DE PRADO,2402,2373,30
2076,DE LA PUENTE,2374,1953,19
2091,DE FRANCISCO,2346,1866,10
2092,DE SOUZA,2340,2786,14
2194,DE LA PAZ,2221,2272,56
2202,DE ARRIBA,2212,1936,14
2206,DE VEGA,2210,2162,27
2212,DOS ANJOS,2205,1662,169
2234,SAN SEGUNDO,2175,2181,17
2278,DE LUIS,2126,1402,27
2292,DE PABLOS,2105,1987,8
2302,DE GRACIA,2099,2256,15
2371,DE LA MATA,2023,1854,5
2441,DE VICENTE,1953,1085,5
2479,DE LA RUBIA,1921,1835,10
2490,DEL ARCO,1910,1770,19
2523,DE TORRES,1880,1823,15
2531,EL IDRISSI,1875,472,38
2590,DE BENITO,1812,1461,0
2593,DE TORO,1810,1665,0
2598,DE MINGO,1806,1735,31
2669,EL MOUSSAOUI,1754,253,49
2692,DEL PRADO,1740,1673,40
2738,DE SANTOS,1710,1476,9
2749,EL AMRANI,1702,317,30
2765,DE LA MORENA,1694,1498,49
2791,SAN PEDRO,1670,1940,10
2828,DE SANTIAGO,1645,1107,0
2861,DE LA RIVA,1623,1453,7
2865,SAN MILLAN,1621,1448,6
2955,DE LA FLOR,1558,1436,5
3118,DE LA HERA,1474,1533,17
3136,ORTIZ DE ZARATE,1465,1474,13
3164,DE ANTONIO,1451,1167,0
3204,DEL SAZ,1429,1402,37
3278,DE LA CASA,1392,1365,13
3366,DEL FRESNO,1354,1269,15
3382,DE ARMAS,1346,1250,5
3392,LADRON DE GUEVARA,1341,1234,0
3419,DE ALMEIDA,1331,1620,5
3429,SAN VICENTE,1325,1347,0
3435,SAN NICOLAS,1322,1212,0
3441,DE GREGORIO,1319,996,23
3488,DE CELIS,1297,1280,9
3518,DE LAMO,1284,1131,45
3591,DE LA LLAVE,1253,1102,6
3601,DE LA OSA,1248,1145,0
3618,SAN SEBASTIAN,1242,1368,5
3650,DE ALBA,1230,1145,0
3667,EL HARRAK,1224,281,49
3761,DE LA CONCEPCION,1186,1191,0
3843,EL OUAHABI,1160,242,62
3888,DEL BARCO,1141,1222,5
3935,DE LA CAL,1125,1163,25
3946,DE MARCOS,1122,1086,0
3956,DA CRUZ,1120,986,7
3978,MONTES DE OCA,1112,1084,13
3980,DE GEA,1111,1083,8
4043,DEL REAL,1089,995,6
4051,DEL SOL,1086,1119,8
4082,EL BAKKALI,1079,225,47
4089,DEL PUERTO,1076,1012,6
4097,DEL BLANCO,1071,1167,0
4151,DEL CURA,1052,1109,15
4197,SAN ANDRES,1038,1090,0
4231,DEL HIERRO,1027,971,0
4268,DE LARA,1016,1049,0
4459,LAS HERAS,973,1060,7
4516,EL MANSOURI,960,113,5
4553,DEL ROSAL,949,822,6
4573,DEL CORRAL,945,872,0
4592,DE LA SERNA,939,796,0
4620,DEL CAÑO,933,851,7
4624,PONCE DE LEON,933,801,0
4674,EL HADDAD,920,148,6
4688,DE LA PLAZA,916,904,12
4703,DE LA CUESTA,914,849,0
4751,DEL CANTO,902,817,0
4786,EL ASRI,894,116,15
4802,DA ROCHA,891,887,0
4822,DEL AMOR,886,844,0
4883,DA CUNHA,873,902,0
4938,DO NASCIMENTO,862,819,6
4953,DE PRADA,859,700,10
5035,DE LA ASUNCION,847,827,0
5039,AL LAL,846,1104,12
5069,DE VERA,841,923,0
5136,DE LA NUEZ,828,696,0
5149,DOS REIS,823,855,5
5169,DE CABO,820,851,0
5220,DE COS,811,738,0
5251,DE CARLOS,804,715,0
5308,RUIZ DE AZUA,794,754,14
5353,DIAZ DE CERIO,787,673,13
5360,DEL MONTE,786,731,0
5415,DE LA GUIA,776,719,17
5438,DEL BOSQUE,773,648,6
5481,DE LA CHICA,766,642,0
5491,DE FREITAS,764,726,0
5521,DEL CID,759,664,0
5539,DEL MOLINO,756,694,6
5606,DE LA ORDEN,746,664,0
5624,DE TENA,744,701,0
5668,EL KHAMLICHI,737,69,25
