nombre,frec
ANTONIO,765138
JOSE,706051
MANUEL,658306
FRANCISCO,572088
JUAN,395559
DAVID,351437
JOSE ANTONIO,323063
JOSE LUIS,312302
JAVIER,297410
JESUS,295470
FRANCISCO JAVIER,290742
CARLOS,280014
DANIEL,273468
MIGUEL,263397
RAFAEL,254478
JOSE MANUEL,250869
PEDRO,250021
ALEJANDRO,236537
ANGEL,235230
MIGUEL ANGEL,229902
JOSE MARIA,225968
FERNANDO,217546
LUIS,214294
PABLO,195256
SERGIO,195251
JORGE,186046
ALBERTO,180391
JUAN CARLOS,163917
JUAN JOSE,160579
RAMON,141677
ENRIQUE,140667
DIEGO,140128
JUAN ANTONIO,139865
VICENTE,139046
ALVARO,135697
RAUL,134842
ADRIAN,131454
JOAQUIN,125614
IVAN,124529
ANDRES,124297
OSCAR,120586
RUBEN,119938
JUAN MANUEL,116759
SANTIAGO,116274
EDUARDO,111954
VICTOR,101940
ROBERTO,98900
JAIME,98348
FRANCISCO JOSE,95934
IGNACIO,92463
ALFONSO,92167
SALVADOR,90396
RICARDO,88324
MARIO,84764
JORDI,83353
EMILIO,82910
MARCOS,78152
JULIAN,76945
JULIO,75091
TOMAS,72139
AGUSTIN,71128
GUILLERMO,69017
GABRIEL,68162
JOSE MIGUEL,66157
FELIX,64777
JOSE RAMON,62330
MOHAMED,59414
GONZALO,58491
JOAN,57289
MARC,57214
MARIANO,53096
ISMAEL,52808
DOMINGO,52681
JOSEP,52048
CRISTIAN,51569
JUAN FRANCISCO,48767
ALFREDO,48219
NICOLAS,48067
SEBASTIAN,47610
JOSE CARLOS,46192
FELIPE,45948
SAMUEL,45567
HUGO,43960
MARTIN,43250
CESAR,42628
AITOR,42513
JOSE ANGEL,41288
JOSE IGNACIO,40801
GREGORIO,40230
VICTOR MANUEL,39737
HECTOR,38939
LUIS MIGUEL,37573
JOSE FRANCISCO,35804
JUAN LUIS,35393
LORENZO,35253
ALBERT,34014
CRISTOBAL,33818
ESTEBAN,33818
XAVIER,33572
EUGENIO,32559
IKER,32283
RODRIGO,31167
ANTONIO JOSE,31159
ALEX,30572
ARTURO,30416
BORJA,29253
VALENTIN,28278
JOSE JAVIER,28124
JESUS MARIA,27545
JUAN MIGUEL,27464
JAUME,27123
ANTONIO JESUS,26445
GERMAN,26265
LUCAS,26255
FRANCISCO MANUEL,25998
JONATHAN,25276
PEDRO JOSE,24856
JOSE VICENTE,24706
ADOLFO,24587
ISAAC,24352
PAU,24188
BENITO,23886
MOHAMMED,23561
MOISES,23233
ISIDRO,23188
JUAN RAMON,23102
ABEL,22602
JUAN PEDRO,22504
AHMED,22176
BERNARDO,22165
ERNESTO,21817
CHRISTIAN,21686
GERARDO,21627
AARON,21540
MANUEL JESUS,21256
SERGI,21227
MIKEL,21087
CARMELO,21064
PASCUAL,20981
IÑIGO,20494
FEDERICO,20318
ASIER,20214
ANTONIO MANUEL,19504
MIQUEL,19479
JOEL,19203
MARCELINO,19199
FRANCESC,19144
BARTOLOME,19141
ISRAEL,18698
ERIC,18419
MATEO,17811
JON,17806
ELOY,17769
JESUS MANUEL,17635
JOSE ALBERTO,17634
FERMIN,17597
LUIS ALBERTO,17342
GERARD,17265
AURELIO,17219
JUAN JESUS,17047
OMAR,17047
UNAI,16976
JONATAN,16969
BENJAMIN,16944
ORIOL,16724
PERE,16723
LLUIS,16169
JOSEP MARIA,16074
EUSEBIO,16072
IÑAKI,16028
ANTONI,15977
JACINTO,15732
POL,15504
PEDRO ANTONIO,15459
DARIO,15313
VICTORIANO,15312
CARLES,15223
ELIAS,15222
CARLOS ALBERTO,15050
ARNAU,14975
JOSE ENRIQUE,14857
MARCO ANTONIO,14815
JERONIMO,14636
ANGEL LUIS,14610
JUAN PABLO,14583
MATIAS,14540
ROGER,14358
JUAN IGNACIO,14212
KEVIN,14210
ISIDORO,14121
TEODORO,14119
DIONISIO,13890
ADRIA,13718
BRUNO,13688
CANDIDO,13626
FLORENCIO,13582
FRANCISCO JESUS,13425
BLAS,13393
JUSTO,13379
ROMAN,13292
GUSTAVO,13220
JOSE JUAN,13137
SANTOS,13019
JUAN BAUTISTA,13013
MANUEL ANGEL,12858
LUIS FERNANDO,12740
ARMANDO,12724
SAID,12706
ALEXANDER,12493
DAMIAN,12463
GINES,12384
ALONSO,12377
LUIS MANUEL,12376
EMILIANO,12241
IZAN,12219
GUILLEM,12191
CARLOS JAVIER,12079
ENRIC,12039
FAUSTINO,11946
PEDRO LUIS,11922
SERAFIN,11894
ION,11855
XABIER,11795
GORKA,11769
ANDER,11711
FERRAN,11688
RACHID,11562
JUAN MARIA,11559
GHEORGHE,11552
MARCO,11524
JOSE JOAQUIN,11475
VASILE,11339
IOAN,11165
LEONARDO,11056
ABRAHAM,11027
FIDEL,10910
JOSE DAVID,10885
EDUARD,10878
MAXIMO,10876
RAMIRO,10766
SAUL,10758
AMADOR,10673
ROGELIO,10428
MARTI,10254
CLAUDIO,10207
LUCIANO,10197
JULIO CESAR,10193
LUIS MARIA,10182
LUIS ANTONIO,10114
JOSE ANDRES,10027
FRANCISCO ANTONIO,9974
FLORENTINO,9955
JESUS ANGEL,9913
EMILIO JOSE,9908
MODESTO,9870
YOUSSEF,9779
MUSTAPHA,9621
LUIS ANGEL,9566
SIMON,9426
MANUEL ANTONIO,9417
JOAQUIM,9407
PAULINO,9289
ILDEFONSO,9242
ALI,9166
AVELINO,9121
EDGAR,9096
ALEIX,9063
SATURNINO,9062
CELESTINO,9040
CONSTANTINO,8980
YERAY,8967
ELADIO,8880
PEDRO MANUEL,8873
ALEXANDRE,8825
ADAM,8786
JUAN DIOS,8780
JAIRO,8779
FRANCISCO MIGUEL,8736
JOSE FERNANDO,8692
IGOR,8675
JULEN,8673
RUFINO,8656
CONSTANTIN,8523
LEANDRO,8389
JUAN VICENTE,8333
EZEQUIEL,8331
JACOBO,8216
ENEKO,8201
MANUEL JOSE,8188
HASSAN,8178
CARLOS MANUEL,8170
ROBERT,7997
ANTONIO LUIS,7903
ANDREU,7866
PEDRO MARIA,7818
ALEXIS,7800
ANTONIO MIGUEL,7795
JUAN ANDRES,7792
ANTONIO JAVIER,7725
JOSE DANIEL,7718
ERIK,7702
OLIVER,7697
CLEMENTE,7667
JUAN DIEGO,7659
LUIS JAVIER,7651
FELICIANO,7641
GASPAR,7633
JORGE LUIS,7580
LUIS CARLOS,7533
BASILIO,7529
HILARIO,7404
JAN,7404
PEDRO JESUS,7382
CAYETANO,7344
RAIMUNDO,7337
MARIAN,7295
NICOLAE,7272
JUAN ANGEL,7189
EVARISTO,7127
ANGEL MANUEL,6967
JOSUE,6958
NESTOR,6957
FABIAN,6828
MARCIAL,6790
BENIGNO,6787
FLORIN,6776
KHALID,6736
ELISEO,6721
LAUREANO,6706
MARCELO,6695
FRANCESC XAVIER,6659
MANEL,6622
SEGUNDO,6616
NARCISO,6585
IMANOL,6555
RICARD,6547
CECILIO,6495
ABDELKADER,6479
BERNARDINO,6440
MUHAMMAD,6349
ABDELLAH,6305
PATRICIO,6271
JUAN ALBERTO,6207
VALERIANO,6199
DEMETRIO,6156
ANDONI,6146
ANGEL MARIA,6124
JESUS ANTONIO,6117
LEOPOLDO,6098
MICHAEL,5978
CESAREO,5960
JOSEBA,5919
FERNANDO JOSE,5888
JOSU,5874
LUIS ENRIQUE,5860
ROBERTO CARLOS,5854
ANASTASIO,5842
CAMILO,5803
CIPRIANO,5741
MAURICIO,5695
LUCIO,5686
PEDRO PABLO,5666
HICHAM,5630
MARCEL,5555
ARITZ,5546
ABDELAZIZ,5499
ANTONIO FRANCISCO,5462
FRANCISCO LUIS,5462
MIHAI,5440
BRAHIM,5421
BIENVENIDO,5392
RODOLFO,5382
ANSELMO,5373
TEOFILO,5349
OCTAVIO,5320
IAGO,5313
EULOGIO,5309
STEFAN,5301
BALTASAR,5298
YAGO,5283
CASIMIRO,5256
AMADEO,5245
MAURO,5199
BERNABE,5193
IBAI,5185
PLACIDO,5158
ALEXANDRU,5080
PEDRO MIGUEL,5076
PEDRO JAVIER,5069
BERNAT,5044
LAZARO,5039
BRIAN,5032
CELSO,4961
FULGENCIO,4938
IAN,4911
BRAIS,4880
NIL,4878
MARIUS,4873
BALDOMERO,4867
HERMINIO,4856
JOSE FELIX,4829
MAXIMINO,4827
JOSE PEDRO,4824
CARLOS JOSE,4788
ROQUE,4780
HAMID,4761
ABDERRAHIM,4707
DUMITRU,4679
PAUL,4679
JOSE GABRIEL,4660
BIEL,4632
JESUS MIGUEL,4583
AQUILINO,4580
BONIFACIO,4577
MANUEL FRANCISCO,4559
FRANCISCO BORJA,4553
GUMERSINDO,4550
LUIS FRANCISCO,4548
ABDESLAM,4526
MANUEL ALEJANDRO,4505
FABIO,4503
ANTON,4500
BILAL,4498
JOSE RAFAEL,4489
VICTORINO,4486
OIER,4440
ALAN,4397
IONEL,4382
HIPOLITO,4373
JOSE DOMINGO,4373
HAMZA,4348
ELEUTERIO,4339
MARINO,4338
VIDAL,4334
JUAN ENRIQUE,4310
DIDAC,4305
IGNASI,4284
NORBERTO,4277
FRANCISCO ASIS,4210
AIMAR,4209
MELCHOR,4209
DRISS,4199
ARSENIO,4196
ROSENDO,4186
KARIM,4175
JESUS JAVIER,4162
ORLANDO,4159
JUAN DAVID,4156
VIRGILIO,4133
HIGINIO,4114
JORGE JUAN,4113
ADAN,4093
AYOUB,4067
LUIS ALFONSO,4062
MARKEL,4061
ALBERTO JOSE,4042
SEVERINO,4002
VICENTE JOSE,3996
URBANO,3980
PABLO JOSE,3970
MAMADOU,3964
PETER,3960
JAMAL,3948
VICTOR JOSE,3926
CARLOS ENRIQUE,3915
JUAN FERNANDO,3890
AUGUSTO,3889
ANIBAL,3868
JOSE PABLO,3861
JUAN GABRIEL,3855
CEFERINO,3854
NOEL,3844
VENANCIO,3842
VIOREL,3832
ANTONIO MARIA,3825
PELAYO,3791
ALAIN,3771
INOCENCIO,3769
JOSE ALEJANDRO,3768
BAUTISTA,3762
JOSE TOMAS,3760
JOHN,3759
AZIZ,3753
JOSE JESUS,3704
ABELARDO,3698
MAXIMILIANO,3693
MARCOS ANTONIO,3667
CARLOS ANTONIO,3638
PRIMITIVO,3636
GUSTAVO ADOLFO,3604
JOSE ALFONSO,3564
JOSE EMILIO,3564
VICENT,3562
IBRAHIM,3530
DENIS,3525
IBON,3512
ISAIAS,3483
JOSE EDUARDO,3467
GENARO,3463
LUIS EDUARDO,3462
MIGUEL ANTONIO,3442
EDUARDO JOSE,3441
SAMIR,3435
AGAPITO,3432
PEDRO ANGEL,3417
RICHARD,3402
NEMESIO,3389
YASSINE,3379
JOSE BENITO,3372
JORGE MANUEL,3369
PEDRO JUAN,3369
FRANCISCO RAMON,3360
LEONCIO,3359
PRUDENCIO,3354
BRAULIO,3344
GAIZKA,3340
IBAN,3335
ELOI,3319
SECUNDINO,3312
ANGEL JOSE,3301
MOUSSA,3292
JOSE JULIAN,3286
CONRADO,3280
ANTONIO DAVID,3264
MANUEL MARIA,3261
VICTOR HUGO,3255
NOUREDDINE,3243
ENRIQUE JOSE,3238
DELFIN,3224
BEÑAT,3211
MIMOUN,3202
JOSE RAUL,3187
ALEJANDRO JOSE,3174
JESUS ALBERTO,3171
FAUSTO,3156
